Job,Salary,Company,Location
Analista de Datos,"$22,000 - $25,000  Mensual",Urban Science,CDMX
Analista de Data Quality,,Banamex,Ciudad de México
Analista Datos Maestros,,Consultoría Internacional en Servi...,Aguascalientes
Analista de datos,"$10,000 - $13,000  Mensual",Bliss IT Group,N.L.
Analista de datos,"$10,000 - $12,000  Mensual",CENTRO DE TELECOMUNICACIONES Y PUB...,SLP.
Analista de datos,"$11,500 - $12,000  Mensual",PROMOLOGISTICS,CDMX
Analista de datos,,EXITUS CAPITAL SAPI DE CV SOFOM ENR,CDMX
Analista de Datos,,GEPP,Edo. Méx.​
Analista de datos,,"WALDO'S DOLAR MART DE MEXICO, S DE...",Edo. Méx.​
Analista de datos,,"WALDO'S DOLAR MART DE MEXICO, S DE...",CDMX
Analista de datos,,CONSULTORES DE SERVICIOS VARIOS SA...,Yuc.
ANALISTA DE DATOS,,EMBOTELLADORA AGA S.A. DE C.V.,Jal.
Analista de datos,,PLAMI SA DE CV,Edo. Méx.​
Analista de datos,,ASTECI,Ciudad de México
Analista de datos,,SERVICIOS CORPORATIVOS SCOTIA SA D...,Edo. Méx.​
Analista de datos,,RH HABILIDADES INTEGRALES DE PERSO...,BC.
Analista de datos,,AGRICOLA LOS REYES S DE RL DE CV,Jal.
Analista de Datos Senior,,Kelly Services,Ciudad de México
Analista de datos Jr,,BoxerTTL ,Edo. Méx.​
Ingeniero Analista de Datos,,Linde México,N.L.
Analista de datos financieros,,,Jal.
ANALISTA DE DATOS SQL,,Grupo Salinas,CDMX
Auditor analista de datos,"$23,000 - $26,000  Mensual",Grupo Salinas,CDMX
Analista de datos y procesos,,AXA,Ciudad de México
Analista Modelo Datos,,Banregio,Nuevo León
Analista de Datos- Estudiantes,,,CDMX
Analista de datos financieros,,GIOVANI PROPUESTAS Y PROYECTOS ADM...,Ciudad de México
ANALISTA DE DATOS MAESTROS,,LAMOSA,N.L.
Analista de Datos Financieros,,"Manpower, S.A. de C.V.",Ciudad de México
Analista de Datos Sr,,PAE DESARROLLADOR EMPRESARIAL DE L...,Coah.
ANALISTA DE DATOS JR,,Impacto Estratégico Consulting Gro...,Ciudad de México
Investigador y analista de datos,,"Computación, Datos y Tecnología, S...",Edo. Méx.​
Asistente de analista de datos,,SERVICIOS ADDREDE S DE R.L DE C.V.,CDMX
Analista de datos jr,,SERVICIOS COMERCIALES AMAZON MEXIC...,Jal.
Análista de Datos Frubana,,Frubana S.A de C.V,Ciudad de México
Analista de datos maestros,,"Laboratorios Sanfer, S.A.",Edo. Méx.​
Analista de datos tableau,,SERVICIOS FINANCIEROS SORIANA S.A....,N.L.
Analista de Datos Financieros,,"Manpower, S.A. de C.V.",Ciudad de México
Practicante analista de datos,,"INFRA DEL SUR, S.A. DE C.V.",Yuc.
Analista base de datos,,Grupo Salinas,CDMX
Analista base de datos,,SDF CONSULTORIA S.A. DE C.V.,CDMX
Analista base de datos,,Grupo CIE,CDMX
Analista de Datos e Inteligencia de Negocios,,AXA,CDMX
Analista de Datos manejo de R,"$20,000 - $23,000  Mensual",Price Shoes,CDMX
Analista de Datos – Power BI,"$20,000  Mensual",Adecco,Qro.
ANALISTA DE PLANEACIÒN ESTRATÈGICA (Analista de Datos),,CAMPOS TEKNOAGROX SPR DE RL DE CV,Jal.
Analista de base de datos,,PROMOLOGISTICS,CDMX
Analista de base de datos,,"WALDO'S DOLAR MART DE MEXICO, S DE...",CDMX
Analista de base de datos,,"WALDO'S DOLAR MART DE MEXICO, S DE...",Edo. Méx.​
ANALISTA DE BASE DE DATOS,,"Bacher Zoppi, S.A. de C.V.",CDMX
Analista de base de datos,,,N.L.
Analista de bases de datos,,Herramientas Truper,CDMX
Analista de base de datos,,"Manpower, S.A. de C.V.",CDMX
Analista de base de datos,,Hoteles City Express,CDMX
Analista de gobierno de datos,,Grupo Salinas,CDMX
Analista de bases de datos,,"Grupo Mereba, S.A. de C.V.",CDMX
Analista de base de datos,,,BC.
Analista de Visualización de datos,,Grupo Salinas,Ciudad de México
Analista de base de datos,,Grupo Zorro Abarrotero,Edo. Méx.​
Analista de base de datos,,Libertad Servicios Financieros,Qro.
Analista de base de datos,,,Querétaro
Analista de base de datos,,,Jal.
Analista de base de datos,"$10,000 - $12,000  Mensual","MDY Contact Center, S.A. de C.V.",N.L.
Analista de base de datos,"$9,000 - $10,000  Mensual",DISTRIBUIDORA ROCHA TULA PACHUCA S...,CDMX
Analista de base de datos,"$20,000 - $30,000  Mensual",CUATRO NETWORKS S DE RL DE CV,Jal.
Analista de base de datos,"$18,000 - $20,000  Mensual",,CDMX
Analista de base de datos,"$17,000 - $17,700  Mensual",,CDMX
ANALISTA DE MODELADO DE DATOS,,CIELO HUMAN CAPITAL,Ciudad de México
ANALISTA DE GESTIÓN DE DATOS,,,CDMX
Analista de bases de datos,,Banorte,CDMX
ANALISTA DE CIENCIA DE DATOS,,GIOVANI PROPUESTAS Y PROYECTOS ADM...,CDMX
Analista Base de Datos - SQL,,Banorte,N.L.
ANALISTA BASE DE DATOS PRECIOS,,Grupo Bafar,Chihuahua
Analista Bases de Datos SQL,,"Financiera Independencia, S.A.de CV.",CDMX
ANALISTA BASES DE DATOS SQL,,"Multicont, S.A. de C.V.",Edo. Méx.​
Analista Base de Datos SQL,,Banorte,N.L.
ANALISTA DE DATOS / INFORMACIÓN (agencia mercadotecnia),,,CDMX
Analista de Datos Trilingue/ Content Reviewer,,Tech Mahindra,CDMX
Becario Analista de Datos/Inglés Avanzado,,"Eulen México de Servicios, S.A. de...",CDMX
Bussines Intelligence Analyst - Analista de Datos,,ACH FOODS MEXICO S DE RL CV,Ciudad de México
ANALISTA DE DATOS VENTAS INGLES INDISPENSABLE,,Adecco,Estado de México
Analista de base de datos-SQL,,Nichos Sales Force,CDMX
Analista de base de datos y sistemas,,,Ciudad de México
